# Catalog from Petigura et al. (2013)
# http://arxiv.org/abs/1311.6806
# period radius radius_uncert
2.1762e+01 2.4600e+00 4.1000e-01
2.1854e+01 1.6500e+00 5.0000e-01
3.9833e+01 1.3700e+00 3.3000e-01
1.0274e+01 1.6900e+00 5.2000e-01
1.1652e+02 4.0900e+00 7.4000e-01
3.2312e+01 2.3900e+00 7.2000e-01
1.6541e+01 1.4300e+00 1.6000e-01
2.4567e+01 2.2100e+00 6.6000e-01
1.5907e+01 2.3500e+00 2.5000e-01
1.2493e+01 2.0500e+00 2.1000e-01
1.4911e+01 2.7900e+00 3.1000e-01
8.6752e+01 2.1100e+00 2.7000e-01
9.3790e+00 2.5600e+00 7.8000e-01
9.2870e+00 2.3100e+00 2.3000e-01
8.8320e+00 1.0500e+00 3.2000e-01
8.7350e+00 1.5900e+00 4.8000e-01
8.1870e+00 2.1500e+00 2.4000e-01
1.4080e+01 1.1400e+00 3.5000e-01
1.7276e+01 7.3900e+00 7.4000e-01
1.6224e+01 1.5400e+00 2.0000e-01
6.3570e+00 1.5100e+00 4.6000e-01
1.0574e+01 1.9400e+00 2.0000e-01
3.7811e+01 2.1900e+00 6.6000e-01
1.2992e+01 2.0900e+00 2.3000e-01
4.2915e+01 1.5800e+00 1.9000e-01
8.6790e+00 1.9700e+00 6.0000e-01
2.4679e+01 5.7300e+00 1.7200e+00
2.9199e+01 4.0100e+00 4.0000e-01
1.8925e+01 2.0800e+00 6.4000e-01
1.0005e+01 1.0500e+00 3.3000e-01
6.1079e+01 1.2000e+00 4.6000e-01
1.7734e+01 1.1500e+00 3.5000e-01
1.2334e+01 3.0800e+00 3.6000e-01
8.3264e+01 2.3900e+00 7.9000e-01
1.4798e+02 3.4200e+00 4.7000e-01
1.9871e+02 3.6900e+00 4.0000e-01
7.0480e+00 1.6900e+00 5.1000e-01
8.8181e+01 2.5600e+00 8.0000e-01
1.5022e+01 1.4700e+00 2.0000e-01
2.9619e+01 1.8000e+00 1.9000e-01
1.3145e+01 1.8500e+00 2.2000e-01
2.4994e+01 1.8500e+00 2.0000e-01
9.1954e+01 2.0200e+00 6.4000e-01
1.7790e+01 2.6500e+00 2.7000e-01
6.7968e+01 1.9900e+00 2.4000e-01
2.9913e+01 2.8100e+00 8.5000e-01
3.1777e+01 1.6400e+00 5.0000e-01
7.2580e+00 5.3000e+00 1.5900e+00
5.1131e+01 2.2800e+00 7.2000e-01
1.3895e+02 2.8100e+00 3.8000e-01
1.3541e+01 2.1600e+00 2.6000e-01
1.8478e+02 2.4900e+00 3.4000e-01
1.1301e+01 1.6600e+00 5.2000e-01
7.3630e+00 1.9300e+00 6.0000e-01
1.6249e+01 1.9100e+00 5.8000e-01
1.6218e+01 2.5200e+00 7.6000e-01
1.4557e+01 4.9800e+00 5.2000e-01
1.1723e+01 2.0600e+00 2.2000e-01
2.9766e+01 1.4400e+00 4.5000e-01
1.1629e+01 1.1500e+00 1.4000e-01
5.3529e+01 2.2300e+00 6.9000e-01
1.7324e+01 2.1200e+00 2.7000e-01
3.3420e+01 2.1000e+00 2.2000e-01
2.5954e+01 1.2600e+00 3.8000e-01
2.5696e+01 2.5600e+00 7.9000e-01
1.6358e+01 1.7700e+00 2.4000e-01
2.8267e+01 2.8300e+00 8.5000e-01
6.4010e+00 3.0100e+00 3.4000e-01
1.1984e+02 7.3700e+00 1.2300e+00
1.6291e+01 5.8000e-01 7.0000e-02
9.7610e+00 8.0000e-01 2.4000e-01
1.0218e+01 2.4600e+00 7.5000e-01
1.1230e+02 1.3700e+00 2.2000e-01
1.3023e+01 2.3900e+00 2.6000e-01
1.6270e+01 1.9400e+00 6.0000e-01
2.3211e+01 1.8020e+01 5.4500e+00
2.8783e+01 1.7600e+00 5.3000e-01
2.1056e+01 3.4800e+00 4.0000e-01
6.3130e+00 2.1100e+00 6.3000e-01
1.4591e+01 4.6200e+00 1.3900e+00
4.2300e+01 2.3000e+00 7.0000e-01
3.7646e+01 1.7900e+00 5.5000e-01
1.0104e+01 2.7400e+00 8.3000e-01
1.1637e+01 2.1100e+00 6.4000e-01
2.0665e+01 8.1000e-01 1.2000e-01
3.3470e+01 2.1800e+00 6.7000e-01
1.2858e+01 1.5800e+00 5.0000e-01
2.1991e+02 2.4500e+00 8.0000e-01
4.6878e+01 2.5700e+00 7.8000e-01
9.7447e+01 4.3700e+00 1.4900e+00
7.7520e+00 2.8500e+00 3.0000e-01
1.6709e+01 1.7700e+00 5.3000e-01
1.4486e+01 2.3100e+00 2.4000e-01
6.9410e+00 2.5600e+00 2.9000e-01
4.3103e+01 1.9100e+00 6.0000e-01
3.6516e+01 2.0300e+00 6.1000e-01
3.1578e+01 4.9800e+00 5.1000e-01
2.0212e+02 5.3700e+00 1.7200e+00
7.2390e+00 1.4400e+00 1.5000e-01
1.2466e+01 5.6300e+00 5.8000e-01
1.6147e+02 3.0300e+00 3.7000e-01
9.6690e+00 1.6800e+00 5.1000e-01
7.3290e+00 1.0300e+00 3.2000e-01
9.9770e+00 1.4400e+00 4.5000e-01
1.0035e+02 1.4700e+00 2.2000e-01
6.9340e+00 1.6300e+00 2.0000e-01
2.4796e+01 2.1400e+00 6.5000e-01
7.2340e+00 1.9200e+00 2.3000e-01
1.2146e+01 1.1100e+00 1.2000e-01
1.4532e+01 3.2400e+00 9.8000e-01
2.0658e+01 9.2000e-01 2.9000e-01
2.9610e+01 1.3100e+00 1.6000e-01
1.0102e+01 2.2800e+00 7.0000e-01
2.3640e+01 3.2400e+00 4.9000e-01
3.0997e+01 2.1800e+00 2.2000e-01
8.7974e+01 3.9100e+00 4.7000e-01
2.0706e+01 1.2600e+00 4.0000e-01
2.6069e+01 2.8300e+00 8.5000e-01
9.0240e+00 1.7200e+00 2.0000e-01
1.0416e+01 2.8400e+00 2.9000e-01
8.7260e+00 2.3800e+00 2.5000e-01
1.4265e+01 8.4000e-01 2.6000e-01
8.2220e+00 2.1300e+00 6.5000e-01
7.3820e+00 3.3900e+00 3.6000e-01
4.0837e+01 1.3800e+00 1.6000e-01
1.3523e+01 2.0500e+00 2.1000e-01
8.8230e+00 1.3200e+00 4.2000e-01
1.0351e+01 1.4100e+00 4.3000e-01
1.3249e+01 2.9500e+00 3.3000e-01
4.0606e+01 2.1100e+00 6.6000e-01
2.0409e+01 1.5700e+00 4.8000e-01
5.8033e+01 2.4100e+00 7.4000e-01
1.1200e+01 1.4800e+00 4.5000e-01
1.6737e+01 2.0900e+00 6.3000e-01
5.2069e+01 2.0600e+00 6.4000e-01
1.7671e+01 1.5300e+00 4.7000e-01
1.0139e+01 2.3600e+00 2.8000e-01
1.4641e+01 9.7000e-01 3.1000e-01
1.4282e+01 1.9100e+00 5.9000e-01
5.3220e+01 9.7600e+00 2.9300e+00
1.2551e+01 1.2800e+00 3.9000e-01
8.6493e+01 2.5900e+00 3.2000e-01
9.6740e+00 2.5300e+00 2.6000e-01
4.7987e+01 2.5100e+00 7.5000e-01
6.3040e+01 2.7300e+00 3.1000e-01
1.2265e+01 1.6860e+01 5.0600e+00
1.5656e+01 2.9400e+00 8.9000e-01
1.6753e+01 1.2000e+00 3.6000e-01
1.1955e+01 2.1800e+00 2.3000e-01
1.5229e+01 2.7400e+00 8.3000e-01
1.6081e+01 4.9300e+00 5.0000e-01
7.9900e+00 1.3100e+00 4.0000e-01
1.8492e+01 3.3700e+00 1.0200e+00
1.1831e+01 9.0000e-01 2.7000e-01
1.8976e+01 1.8200e+00 5.6000e-01
1.3903e+01 1.5600e+00 4.9000e-01
9.3040e+00 2.4400e+00 8.1000e-01
8.5950e+00 1.7400e+00 1.9000e-01
6.7380e+00 7.8000e-01 1.2000e-01
8.3090e+00 2.0900e+00 6.3000e-01
6.0928e+01 2.5200e+00 2.6000e-01
1.5359e+01 1.0660e+01 1.0700e+00
9.1780e+00 2.2300e+00 6.8000e-01
9.1150e+00 1.8500e+00 5.7000e-01
4.1806e+01 2.2200e+00 6.8000e-01
9.6000e+00 1.9400e+00 2.2000e-01
7.3410e+00 8.1800e+00 2.4600e+00
7.3750e+01 1.5300e+00 4.7000e-01
2.9073e+01 2.2000e+00 6.7000e-01
8.3840e+00 9.8000e-01 3.0000e-01
2.0172e+01 6.1100e+00 1.8600e+00
7.2030e+00 3.5100e+00 1.0600e+00
7.7690e+00 1.3800e+00 4.2000e-01
8.9338e+01 1.5700e+00 6.1000e-01
7.9300e+00 3.2900e+00 9.9000e-01
1.6679e+02 6.9900e+00 7.9000e-01
8.0250e+00 8.4200e+00 8.5000e-01
8.0232e+01 2.9700e+00 9.7000e-01
1.7578e+01 2.1600e+00 6.7000e-01
1.4401e+01 2.1900e+00 2.3000e-01
1.1391e+01 9.8000e-01 1.2000e-01
3.0861e+01 1.3700e+00 4.1000e-01
2.7072e+01 2.0500e+00 6.2000e-01
1.6913e+02 2.1800e+00 3.3000e-01
2.3464e+02 2.7200e+00 3.8000e-01
1.3137e+01 1.7400e+00 2.0000e-01
1.3425e+02 2.9800e+00 3.5000e-01
1.2563e+02 7.9900e+00 8.1000e-01
1.3375e+01 2.0200e+00 6.3000e-01
2.3675e+01 2.2800e+00 6.9000e-01
2.8162e+01 1.4900e+01 4.4700e+00
1.8208e+01 2.9100e+00 2.9000e-01
1.2816e+01 1.7700e+00 1.8000e-01
7.5132e+01 1.6100e+01 4.8300e+00
3.1995e+01 3.8700e+00 4.0000e-01
5.1110e+01 1.9800e+00 6.3000e-01
4.7428e+01 2.3600e+00 2.6000e-01
7.7000e+00 1.0700e+00 1.6000e-01
1.1941e+02 1.6220e+01 2.5700e+00
6.9210e+00 1.4500e+00 4.4000e-01
2.2248e+01 2.4500e+00 2.6000e-01
6.8920e+00 1.5700e+00 5.0000e-01
4.7312e+01 1.8100e+00 5.5000e-01
2.1057e+01 2.2900e+00 6.9000e-01
2.1061e+01 1.8400e+00 2.0000e-01
6.5100e+00 2.4300e+00 7.4000e-01
7.5610e+00 1.2900e+00 4.0000e-01
1.4026e+01 2.3600e+00 7.4000e-01
1.0854e+01 3.4400e+00 3.5000e-01
1.1120e+01 1.8100e+00 1.8000e-01
1.9193e+01 9.7800e+00 3.8900e+00
1.3331e+01 2.6600e+00 8.3000e-01
6.8830e+00 1.8000e+00 5.5000e-01
1.3149e+02 4.0800e+00 1.1600e+00
5.9878e+01 2.1400e+00 2.6000e-01
1.1720e+01 7.7700e+00 2.3300e+00
1.9119e+01 1.5000e+00 4.6000e-01
6.7400e+00 1.1000e+00 3.5000e-01
1.1555e+01 1.4200e+00 4.6000e-01
2.9007e+01 2.3200e+00 7.7000e-01
1.0777e+01 1.3500e+00 4.2000e-01
1.0417e+01 1.3000e+00 4.1000e-01
4.1749e+01 2.8700e+00 2.9000e-01
1.5744e+01 1.2000e+00 3.6000e-01
1.3648e+01 1.3100e+00 4.1000e-01
1.3700e+01 3.1600e+00 9.5000e-01
5.6435e+01 2.6800e+00 3.3000e-01
1.1555e+01 1.8300e+00 5.6000e-01
1.6832e+01 1.7900e+00 5.7000e-01
1.0944e+02 3.2200e+00 8.1000e-01
1.2875e+01 6.8700e+00 2.1700e+00
7.4270e+00 1.4200e+00 4.4000e-01
1.0419e+01 2.6800e+00 8.1000e-01
1.0688e+01 2.4400e+00 7.4000e-01
2.9226e+01 1.3600e+00 4.2000e-01
7.9730e+00 3.5400e+00 3.5000e-01
1.4454e+01 8.0000e-01 2.4000e-01
4.0069e+01 3.2000e+00 9.7000e-01
5.3719e+01 8.0600e+00 2.7900e+00
3.9440e+01 1.4500e+00 4.5000e-01
8.4090e+00 2.9400e+00 3.0000e-01
2.7813e+02 5.6800e+00 7.5000e-01
6.4980e+00 1.6300e+00 1.9000e-01
3.5582e+01 2.0200e+00 2.1000e-01
3.3498e+01 8.4000e-01 2.5000e-01
8.0100e+00 1.7100e+00 5.2000e-01
3.2774e+01 2.2200e+00 7.0000e-01
1.9267e+02 3.0600e+00 4.2000e-01
1.6842e+01 2.6500e+00 8.0000e-01
2.1103e+02 3.0300e+00 3.4000e-01
8.3120e+00 1.3100e+00 4.2000e-01
1.4164e+01 2.6300e+00 8.0000e-01
1.6877e+01 2.6400e+00 3.0000e-01
5.6573e+01 1.7100e+00 5.6000e-01
5.2514e+01 1.2900e+01 1.3000e+00
1.1455e+01 9.9000e-01 1.4000e-01
7.2270e+00 7.3000e-01 2.2000e-01
6.5705e+01 3.2800e+00 3.8000e-01
1.7768e+01 1.3100e+00 4.1000e-01
1.9446e+01 3.5100e+00 1.1100e+00
1.5771e+01 2.5200e+00 2.7000e-01
2.0729e+01 2.1000e+00 6.6000e-01
1.3982e+01 2.2000e+00 2.2000e-01
1.1903e+01 2.5800e+00 7.8000e-01
1.9751e+02 8.8100e+00 8.9000e-01
8.5080e+00 2.7400e+00 2.9000e-01
1.7588e+01 3.6600e+00 1.1000e+00
1.7087e+02 5.6900e+00 7.8000e-01
2.7211e+01 1.4900e+00 4.7000e-01
1.1874e+01 1.3500e+00 1.9000e-01
6.6184e+01 2.1100e+00 6.8000e-01
1.4006e+01 3.1000e+00 3.1000e-01
1.9072e+01 1.9900e+00 6.1000e-01
1.7815e+02 2.4700e+00 3.4000e-01
1.1633e+02 3.5200e+00 3.8000e-01
1.8302e+01 1.3500e+00 4.2000e-01
