# period radius radius_uncert
7.174413037458784004e+00 1.147814149603809009e+00 3.047243569534355823e-01
6.315806530838626642e+00 1.194209513467094474e+00 1.203194224865851286e-01
7.368837720506002498e+00 1.687961165631059357e+00 3.938798888118964503e-01
6.482864465648031427e+00 1.240879982306474894e+00 4.163062128543615348e-01
6.507266387807730368e+00 2.526101991959983195e+00 4.870432260027284799e-01
7.416211992771030381e+00 1.745257117525602863e+00 4.830040734135989666e-01
6.662978176289294119e+00 1.347768116646981706e+00 4.882483491852857571e-01
6.428434509125133367e+00 1.412375794645262861e+00 5.430703703679141681e-01
7.132161329367804115e+00 1.823093677544213920e+00 5.468847001713651457e-01
6.694887479238310846e+00 1.170252694305276231e+00 5.762842586401504263e-01
6.565254054880128365e+00 2.438560289270035319e+00 2.380804445090626553e-01
7.196054239491127547e+00 2.548236772758383228e+00 2.748880508113973886e-01
6.830633941923995422e+00 2.903892989220904219e+00 3.132445384862364013e-01
7.110153235356802881e+00 1.988505715370363358e+00 7.237081102076530215e-01
6.360793109660919598e+00 2.305172363062187202e+00 7.920137294981101084e-01
6.948396754444557288e+00 2.728869399700638798e+00 2.990646610024528251e-01
6.745568790900573042e+00 3.312989386213149423e+00 3.481431893243780995e-01
6.268885781104447830e+00 2.730254720601698271e+00 9.824386016021589008e-01
6.668835219370826906e+00 4.262248299615901459e+00 5.300641531237572091e-01
6.921392489026876760e+00 3.832713057776385046e+00 1.231562491223353151e+00
7.145576904844609167e+00 2.914477684721552553e+00 1.046910760264276874e+00
6.909055481259357201e+00 4.001158738393034042e+00 3.917921875682043864e-01
7.051105675326593492e+00 3.149752013725431787e+00 1.072124363019843152e+00
6.840659706130879592e+00 5.536337011203929848e+00 1.044692215617205377e+00
6.324850976906455813e+00 5.207786559100482826e+00 4.858983032361270937e-01
7.111383564110867361e+00 4.025296059967621076e+00 4.783958992637235008e-01
6.387998007033599102e+00 2.877046536744462202e+00 1.502614442106543491e+00
6.678363680380097200e+00 5.608749254652232175e+00 7.874313557217351711e-01
6.852228969227996735e+00 5.103646575312014377e+00 6.348275572537921407e-01
6.531495652980112254e+00 3.874417401801367511e+00 1.877487518478190509e+00
7.218347645334562301e+00 4.595019259858146299e+00 5.593447870462713301e-01
6.401773987420165568e+00 5.670111974908141228e+00 1.702053462273324991e+00
6.754680215530783904e+00 6.439746488594076723e+00 7.950379030320520179e-01
6.561493169102972089e+00 7.371400422351923609e+00 7.490516085078561259e-01
6.704600164432423348e+00 4.537051496405696938e+00 2.243975028195146937e+00
6.774688738638107388e+00 1.032394304846698674e+01 2.212494934491835874e+00
6.316962210496656738e+00 1.219237649039737548e+01 2.300304121722986928e+00
7.416032702488029038e+00 8.304310855115577539e+00 2.597361561405759467e+00
6.904450108920251239e+00 8.457605264673649259e+00 9.675498920039251605e-01
6.285588112045537912e+00 6.978630445771123014e+00 2.915767580195060660e+00
6.756143866946784371e+00 8.483263890470315260e+00 1.019136612634320649e+00
7.155609774798611156e+00 1.162834691438999890e+01 3.596436000271466593e+00
6.406570617134108581e+00 1.171780467376072110e+01 5.066211336186081660e+00
7.433199254657876232e+00 4.471833855056911999e-01 2.923633868874236930e-01
8.833459315428319414e+00 8.242981829938428318e-01 3.378235094922406589e-01
7.994375430106164693e+00 1.296228595532946004e+00 3.338470048741926655e-01
8.159384921971403415e+00 1.259276590042242461e+00 1.195765608977105154e-01
7.473066203569907806e+00 1.126819639799006234e+00 1.617469708698733577e-01
7.486543942076549385e+00 1.617427892742961060e+00 1.958455707519804467e-01
8.080235663826988102e+00 2.399719144023563899e+00 4.543651907471339957e-01
8.592139875036524543e+00 1.547315467774394770e+00 4.849179828659458957e-01
8.564830413445386981e+00 1.793047004767536645e+00 1.888242360169563039e-01
7.683525267268987768e+00 1.750078312138909187e+00 1.614011130399439775e-01
7.947538979748951959e+00 1.136149781494747879e+00 4.977325067374636092e-01
8.692335706388782057e+00 1.344160028598041956e+00 4.944277697529946280e-01
7.859428778552741690e+00 1.340962169797009995e+00 5.596206867132268448e-01
7.972749135715867297e+00 1.569267719607327027e+00 2.244400814996142801e-01
7.992890631193355411e+00 2.695832053643234527e+00 9.511091771300373976e-01
7.845068435244911598e+00 1.816032349642179078e+00 5.912459705665320531e-01
8.334963107552740169e+00 7.817062788114088612e-01 6.254939187948952428e-01
7.627184682428019613e+00 1.565084285505326633e+00 6.347394851675631777e-01
8.246718933626469905e+00 3.412608473863876668e+00 7.570308216066189422e-01
8.373962069455981094e+00 2.312659382525869223e+00 8.664288649852972535e-01
8.621921828711876401e+00 2.702849852347655180e+00 1.033143453774397091e+00
