# period radius radius_uncert
6.300479993592309924e+00 1.004274421570904519e+00 2.648618928056173938e-01
6.590838401177198769e+00 1.986645286599533433e+00 3.080813883101937156e-01
6.424372970669983474e+00 1.651909275578391290e+00 3.526602062751886257e-01
6.479681342991876036e+00 1.040053665602972854e+00 1.211945844629758046e-01
6.372611150131589852e+00 1.232727482354290194e+00 1.145182310394677883e-01
6.305948287680908315e+00 1.295557843103912088e+00 3.843484925528688478e-01
6.985396815758076805e+00 1.189263222806801190e+00 1.440260333927999847e-01
7.197682556790222286e+00 1.368537603853268170e+00 4.208816778692485716e-01
6.284492364167355127e+00 1.620660678644012531e+00 4.324974793921227967e-01
7.068213235817735196e+00 1.453275406305010176e+00 4.586159177263096631e-01
6.289678348587739443e+00 1.523057153052520762e+00 1.852101306560090810e-01
6.547950538852102653e+00 1.777668952925032686e+00 2.088255677418577594e-01
6.597180999042842053e+00 1.705487974795042883e+00 5.180944931736825021e-01
7.251580020338437294e+00 2.148329142736883579e+00 5.103633087434920057e-01
6.758780417699485454e+00 2.346452421721455295e+00 5.344808803627265625e-01
6.494879943148299972e+00 2.051440905799204906e+00 5.180126019654442970e-01
7.047995674783382292e+00 2.049558645674712132e+00 2.277008629251881522e-01
6.745966175738955073e+00 1.713670220648050524e+00 2.243153005829953972e-01
6.426520535995614125e+00 2.488353042307112073e+00 5.924676879077593883e-01
6.835558275357092484e+00 2.006239617351698534e+00 2.081713799533377318e-01
6.539118262939955351e+00 2.026956565987553027e+00 2.312582110826835458e-01
7.251133423407850387e+00 1.795398669934129998e+00 6.412045510377830659e-01
6.766120941806703648e+00 3.590855877749012937e-01 6.871330469829449727e-01
6.391584927376554148e+00 1.355351409896762505e+00 7.284301094623445438e-01
6.339776690528202252e+00 1.154413210763372222e+00 7.246039114806122061e-01
6.816052843712126830e+00 2.047682579457819063e+00 2.364294350411107748e-01
7.049485742323858162e+00 2.632867386769548013e+00 7.299474404391852467e-01
6.566054730803664974e+00 2.286693310216676434e+00 6.793219532174969988e-01
6.710215306209788899e+00 3.370814895109659926e+00 7.499749307257818076e-01
6.651054803963393880e+00 2.954583545575073078e+00 7.301793288527067549e-01
7.271614143604038460e+00 3.077542131776872747e+00 7.763609345923848659e-01
6.376841310966421261e+00 2.894691590202997489e+00 7.945456544882090189e-01
6.978378576341972561e+00 3.541349762764547382e+00 8.304206566833350900e-01
6.653663267127975622e+00 2.837239019341867063e+00 2.863858504865851029e-01
6.556835525682994437e+00 3.495394294231652488e+00 8.341172205691700370e-01
6.917256106623086431e+00 2.402560549819912517e+00 2.898624891591542463e-01
6.578093878340985690e+00 1.766935932553443278e+00 3.244882530626385653e-01
6.836454191950277703e+00 4.012855113266474483e+00 8.477170556197732854e-01
6.484531961246050358e+00 3.360580715706956934e+00 8.911308920814805523e-01
6.651686808916192462e+00 3.332616690241995361e+00 8.617776046561960168e-01
6.413222491680892645e+00 2.288253784657312551e+00 1.254695490858328322e+00
6.615666266692605824e+00 6.676244367227518239e+00 1.723970098812815044e+00
6.837366657666802183e+00 1.238041950409692937e+01 3.796668273664505211e+00
8.377156680444716841e+00 2.719613121364942709e-01 1.922700396077339224e-01
7.943111562564388883e+00 7.649350068342198883e-01 2.731625387541989913e-01
7.590905305393712332e+00 3.708146925286481821e-01 2.721124742462140977e-01
8.436704104252029879e+00 9.151171681549306047e-01 3.251431495404693561e-01
7.580393680969941705e+00 1.178571781309036171e+00 3.953679373291767996e-01
8.145501199518932367e+00 3.804116565140304163e-01 3.397821222129623342e-01
7.766653284156421755e+00 1.153382686555389336e+00 3.409531426898979589e-01
7.612771661030548032e+00 6.801840016665436917e-01 2.630496490483365535e-01
8.341926375221207834e+00 1.154989790379013392e+00 3.319937360507027591e-01
7.894721208522841316e+00 6.657937237314911494e-01 4.046212946371124386e-01
7.594517930372219894e+00 1.425606500917288910e+00 3.929648469542642575e-01
8.800088888526826025e+00 1.212349408432010334e+00 1.567867866697408019e-01
7.667484878254268388e+00 1.576933136828201132e+00 1.998928188549770613e-01
7.475137064223742023e+00 1.959578692675206790e+00 4.585473350890965638e-01
8.420100186476524584e+00 1.560375124079843134e+00 1.567244452267863852e-01
8.716335716484513441e+00 1.775826694858787524e+00 5.035684825853494750e-01
7.845705109632116425e+00 1.154604263220506466e+00 5.107824992339475845e-01
8.648599216794426781e+00 1.938135873660028263e+00 5.225915439253102646e-01
7.956014517723498436e+00 1.734765883977133605e+00 2.500394401751368512e-01
8.075998884323059457e+00 2.876190816607873568e+00 5.990848176930466673e-01
7.749518077038636044e+00 3.034083508376773430e+00 6.066708915881291464e-01
8.572838206171956799e+00 1.803436797499365252e+00 2.337657792657659994e-01
7.506064714675649618e+00 1.940411096685995984e+00 2.850517986932214476e-01
7.753095550362917088e+00 1.880221671093216695e+00 1.858774525309453141e-01
7.616227356032418072e+00 2.074607897282706670e+00 2.127088113246112522e-01
7.937935171534278744e+00 2.040152899264040531e+00 1.934669229811800117e-01
8.534443565984513924e+00 2.559408907738096595e+00 6.836775143483345696e-01
7.888210424098653029e+00 1.271955902886570566e+00 6.460827227713245025e-01
7.642662888918112074e+00 1.948956018613826169e+00 2.170092517193310810e-01
7.538725370307393092e+00 2.356859482805591099e+00 3.120303175496889625e-01
7.606438746249925664e+00 1.947199075265919621e+00 7.737122546622209329e-01
8.747853772385912663e+00 2.482510964679472298e+00 2.966321645060147616e-01
8.320910035747475675e+00 2.617195636449958229e+00 7.701201125375745082e-01
7.544848456205373033e+00 3.160784942949360854e+00 7.371256454499635069e-01
8.824602678485709006e+00 2.087562991819010172e+00 7.519043378520948728e-01
7.637428432431482506e+00 2.648202544937702463e+00 3.656269089884034429e-01
7.705902245661626182e+00 1.988955879462387166e+00 2.957617494844782535e-01
8.252193633240075599e+00 2.620514211579531683e+00 2.803183708794659279e-01
7.826704314079830027e+00 2.343334737600586415e+00 8.451214829522789573e-01
8.816752462864490880e+00 3.344528072504226124e+00 9.346236516769176328e-01
7.607689951274403839e+00 2.182598294979120279e+00 3.267145978601231904e-01
8.043076023056487500e+00 3.431172049285760917e+00 3.540336506726708410e-01
8.809458171543722571e+00 3.866090091950986185e+00 1.264397203509861622e+00
8.304224286412345890e+00 5.542590890538450665e+00 6.130508419635231077e-01
7.539739797559691148e+00 7.054572346771675662e+00 7.463695630092750388e-01
8.594707410947385995e+00 4.136306872280184344e+00 2.860440078157632016e+00
7.460896622139506995e+00 1.534256456833705862e+01 3.547401504026068686e+00
9.528175269614129306e+00 3.656361162812567511e-01 2.441740206719759110e-01
9.048421265204744657e+00 1.232432007929265216e+00 3.584729047126846146e-01
9.146972137504453926e+00 1.109974048774855060e+00 1.480094943619379988e-01
9.097944090802881689e+00 1.805570297737740804e+00 3.855044868432748184e-01
1.043953172585795919e+01 1.370654447629461981e+00 1.236594405129897573e-01
9.163213692235547825e+00 1.370475403602871900e+00 3.878517429452247312e-01
9.292236562174544190e+00 2.030288825708211231e+00 4.349615650026802394e-01
9.274396775824751415e+00 1.936680783717574794e+00 4.652090104548308735e-01
9.039129327419116677e+00 1.338208260021113150e+00 4.480350282746635160e-01
1.037271908259019426e+01 1.848061912209697955e+00 1.598127147981900087e-01
9.352997562853293090e+00 2.397527948613080717e+00 5.000119411648467072e-01
9.065805202274345831e+00 1.214109649967906268e+00 4.893743946345228135e-01
1.033501256524835021e+01 8.035845367834314468e-01 5.577721544144090826e-01
8.964876114985100841e+00 1.933229974698056797e+00 2.044555516856748356e-01
9.547094241791967306e+00 1.589387511517005969e+00 5.325417625828078316e-01
1.051074671719171505e+01 1.260694625553603565e+00 5.903191277718655705e-01
1.047615848178113040e+01 1.226327667833936541e+00 6.014955164217590244e-01
9.138112367642950318e+00 1.702984207729759447e+00 6.205759674092619083e-01
1.033057745919622583e+01 2.449745770758420260e+00 2.187668095302198468e-01
1.023249323769552888e+01 2.315735247703213595e+00 2.639749392888676716e-01
9.937601062724557011e+00 2.474268683227125010e+00 3.263348378387568305e-01
1.039686598874877888e+01 2.180893358866963450e+00 4.537879608244119733e-01
1.027317712433151975e+01 2.585998492493881251e+00 2.526510963434945300e-01
9.317915656324361251e+00 2.424274109340502914e+00 2.454956902392564089e-01
1.033140322677540368e+01 2.486327266496353161e+00 2.427833172637174908e-01
